"ORDER","ZIP CODE","CITY","STATE","DATE TIME","UV VALUE"
        1,19464,Pottstown,PA,Dec/01/2024 06 AM,0
        2,19464,Pottstown,PA,Dec/01/2024 07 AM,0
        3,19464,Pottstown,PA,Dec/01/2024 08 AM,0
        4,19464,Pottstown,PA,Dec/01/2024 09 AM,0
        5,19464,Pottstown,PA,Dec/01/2024 10 AM,1
        6,19464,Pottstown,PA,Dec/01/2024 11 AM,1
        7,19464,Pottstown,PA,Dec/01/2024 12 PM,1
        8,19464,Pottstown,PA,Dec/01/2024 01 PM,1
        9,19464,Pottstown,PA,Dec/01/2024 02 PM,1
        10,19464,Pottstown,PA,Dec/01/2024 03 PM,0
        11,19464,Pottstown,PA,Dec/01/2024 04 PM,0
        12,19464,Pottstown,PA,Dec/01/2024 05 PM,0
        13,19464,Pottstown,PA,Dec/01/2024 06 PM,0
        14,19464,Pottstown,PA,Nov/30/2024 07 PM,0
        15,19464,Pottstown,PA,Nov/30/2024 08 PM,0
        16,19464,Pottstown,PA,Nov/30/2024 09 PM,0
        17,19464,Pottstown,PA,Nov/30/2024 10 PM,0
        18,19464,Pottstown,PA,Nov/30/2024 11 PM,0
        19,19464,Pottstown,PA,Dec/02/2024 12 AM,0
        20,19464,Pottstown,PA,Dec/02/2024 01 AM,0
        21,19464,Pottstown,PA,Dec/02/2024 02 AM,0
